#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Strong Against,Weak Against,Other,evol_level,evol_cond
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",16,None
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",32,None
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,16,None
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,36,None
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE,"Bug, Grass, Ice, Steel, Dragon","Ground, Rock, Water, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,16,None
8,Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,36,None
9,Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,7,None
11,Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,10,None
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",7,None
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",10,None
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",18,None
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",36,None
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,20,None
20,Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",20,None
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
23,Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,22,None
24,Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
